Wavelength.nm,Absorbtivity.mM,Absorbtivity.M,Nucleotide,Reference
230,2.6,2600,Ap,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
230,2.04,2040,Up,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
230,7.78,7780,Cp,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
230,4.2,4200,Gp,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
230,2.66,2660,ApA,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
230,2.86,2860,ApU,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
230,5.12,5120,ApC,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
230,3.79,3790,ApG,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
230,2.43,2430,UpA,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
230,2.85,2850,UpU,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
230,5.19,5190,UpC,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
230,2.94,2940,UpG,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
230,5.34,5340,CpA,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
230,4.85,4850,CpU,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
230,7.41,7410,CpC,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
230,7.28,7280,CpG,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
230,3.54,3540,GpA,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
230,4.26,4260,GpU,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
230,6.2,6200,GpC,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
230,2.99,2990,GpG,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
235,3.87,3870,Ap,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
235,2.62,2620,Up,"Richards,E.G. (1975) Use of tables in calculation of absorption, optical rotatory dispersion and circular dichroism of polyribonucleotides. In Fasman,G.D. (ed.), Handbook of 3rd Edn. CRC Press, Cleveland, OH, USA, Vol. I, pp. 596±603. Biochemistry and Molecular Biology,"
