Sample,Pathlength,Temperature,Absorbance
2,1,4.87,0.276882095
2,1,5.48,0.277069091
2,1,6.02,0.277099609
2,1,6.52,0.27696228
2,1,7.02,0.276962281
2,1,7.52,0.276931762
2,1,8.03,0.277315532
2,1,8.53,0.277359009
2,1,9.04,0.276702881
2,1,9.54,0.276677251
2,1,10.03,0.276017334
2,1,10.55,0.27682311
2,1,11.05,0.277023315
2,1,11.55,0.276655264
2,1,12.05,0.277149404
2,1,12.56,0.276958887
2,1,13.06,0.277036216
2,1,13.56,0.276351928
2,1,14.07,0.27696228
2,1,14.56,0.276947021
2,1,15.08,0.275985718
2,1,15.57,0.276428223
2,1,16.07,0.277038575
2,1,16.59,0.276672363
2,1,17.09,0.276107788
2,1,17.59,0.27624897
2,1,18.1,0.276356299
2,1,18.61,0.27633667
2,1,19.13,0.276824951
2,1,19.63,0.27671814
2,1,20.13,0.276748657
2,1,20.67,0.277668721
2,1,21.16,0.276583628
2,1,21.67,0.276275635
2,1,22.16,0.277100356
2,1,22.66,0.276809693
2,1,23.16,0.276386299
2,1,23.66,0.27612104
2,1,24.15,0.276945532
2,1,24.64,0.276870727
2,1,25.12,0.276550293
2,1,25.62,0.276321411
2,1,26.11,0.276108887
2,1,26.64,0.276763916
2,1,27.18,0.276473999
2,1,27.67,0.276645698
2,1,28.18,0.276626587
2,1,28.67,0.276443482
2,1,29.16,0.27734375
2,1,29.66,0.276535034
2,1,30.16,0.276323027
2,1,30.67,0.276867168
2,1,31.17,0.276306153
2,1,31.66,0.276214599
2,1,32.17,0.276929238
2,1,32.67,0.277085449
2,1,33.18,0.276748657
2,1,33.67,0.275707168
2,1,34.18,0.276180356
2,1,34.68,0.276888638
2,1,35.19,0.276301226
2,1,35.69,0.277236938
2,1,36.18,0.276870107
2,1,36.68,0.277328491
2,1,37.19,0.27696166
2,1,37.69,0.277084188
2,1,38.2,0.277221679
2,1,38.7,0.276886376
2,1,39.2,0.277420044
2,1,39.71,0.277251929
2,1,40.21,0.277892763
2,1,40.7,0.277740386
2,1,41.21,0.278396303
2,1,41.71,0.278931089
2,1,42.21,0.278915405
2,1,42.71,0.279235839
2,1,43.22,0.278961181
2,1,43.73,0.278503405
2,1,44.22,0.280028933
2,1,44.72,0.281311035
2,1,45.23,0.281509553
2,1,45.73,0.28100586
2,1,46.22,0.281051271
2,1,46.72,0.280761706
2,1,47.23,0.282089563
2,1,47.95,0.283935546
2,1,48.72,0.282562138
2,1,49.25,0.281982422
2,1,49.74,0.283081055
2,1,50.24,0.283584594
2,1,50.75,0.285140991
2,1,51.25,0.286224081
2,1,51.76,0.287002563
2,1,52.24,0.287321548
2,1,52.76,0.287261963
2,1,53.25,0.289233203
2,1,53.76,0.290542602
2,1,54.24,0.291167894
2,1,54.77,0.293502808
2,1,55.24,0.295639393
2,1,55.76,0.297330425
2,1,56.28,0.299240112
2,1,56.78,0.300643921
2,1,57.26,0.301868145
2,1,57.76,0.304400586
2,1,58.27,0.304977417
2,1,58.78,0.306045532
2,1,59.28,0.308166504
2,1,59.76,0.309905878
2,1,60.29,0.311325121
2,1,60.77,0.313858422
2,1,61.27,0.31460573
2,1,61.79,0.315078694
2,1,62.3,0.317230177
2,1,62.76,0.31871028
2,1,63.31,0.319259973
2,1,63.78,0.321640015
2,1,64.3,0.321533296
2,1,64.82,0.323134881
2,1,65.33,0.323028564
2,1,65.81,0.325088501
2,1,66.29,0.325744629
2,1,66.78,0.325344214
2,1,67.32,0.326354981
2,1,67.81,0.326919556
2,1,68.32,0.32649231
2,1,68.83,0.329147339
2,1,69.33,0.329466675
2,1,69.82,0.328338623
2,1,70.3,0.329312368
2,1,70.8,0.33023479
2,1,71.35,0.32919479
2,1,71.85,0.329257544
2,1,72.36,0.329988247
2,1,72.84,0.329730918
2,1,73.34,0.329728848
2,1,73.86,0.33050481
2,1,74.31,0.328994751
2,1,74.86,0.33001709
2,1,75.37,0.329974727
2,1,75.87,0.328796387
2,1,76.39,0.329989302
2,1,76.87,0.329681397
2,1,77.38,0.329386631
2,1,77.88,0.32916396
2,1,78.37,0.329193116
2,1,78.89,0.329271289
2,1,79.39,0.329483032
2,1,79.88,0.329320171
2,1,80.39,0.3278075
2,1,80.88,0.32969251
2,1,81.4,0.329196733
2,1,81.91,0.328842163
2,1,82.39,0.329681396
2,1,82.9,0.328842163
2,1,83.4,0.328369141
2,1,83.9,0.328033448
2,1,84.41,0.328964233
2,1,84.9,0.327545166
2,1,85.41,0.328231811
2,1,85.91,0.328643799
2,1,86.41,0.328200107
2,1,86.91,0.328262329
2,1,87.41,0.327621143
2,1,87.92,0.328689575
2,1,88.42,0.327606201
2,1,88.92,0.327728271
2,1,89.43,0.327209473
2,1,89.94,0.327279175
2,1,90.44,0.327185986
2,1,90.93,0.327423096
2,1,91.43,0.326873779
2,1,91.94,0.327255249
2,1,92.44,0.326904785
2,1,92.33,0.327315942
2,1,93.31,0.327708594
2,1,93.92,0.326864453
2,1,94.43,0.327224731
3,1,4.86,0.487087173
3,1,5.49,0.486602783
3,1,6.02,0.486999511
3,1,6.52,0.486557006
3,1,7.03,0.487182617
3,1,7.52,0.487350463
3,1,8.03,0.486650859
3,1,8.53,0.487106323
3,1,9.04,0.486831665
3,1,9.54,0.486394048
3,1,10.03,0.485764648
3,1,10.55,0.486585684
3,1,11.05,0.487350464
3,1,11.55,0.486921377
3,1,12.06,0.486423696
3,1,12.56,0.486507837
3,1,13.06,0.486386802
3,1,13.57,0.485961914
3,1,14.07,0.486236572
3,1,14.57,0.486206055
3,1,15.08,0.485427856
3,1,15.58,0.485412598
3,1,16.07,0.485778809
3,1,16.58,0.485778808
3,1,17.08,0.484771729
3,1,17.59,0.485691108
3,1,18.11,0.485691626
3,1,18.61,0.485397339
3,1,19.12,0.48538208
3,1,19.63,0.485656738
3,1,20.13,0.485656738
3,1,20.68,0.485630757
3,1,21.17,0.485323862
3,1,21.66,0.484954834
3,1,22.16,0.485657485
3,1,22.66,0.485107422
3,1,23.16,0.485553779
3,1,23.66,0.485441108
3,1,24.15,0.48463291
3,1,24.65,0.485733032
3,1,25.13,0.484680176
3,1,25.63,0.485168457
3,1,26.11,0.485108521
3,1,26.65,0.485351563
3,1,27.18,0.485107422
3,1,27.67,0.48541645
3,1,28.18,0.484985352
3,1,28.67,0.485626221
3,1,29.16,0.486419678
3,1,29.67,0.485900879
3,1,30.16,0.485765166
