"Sample","Pathlength","Temperature","Absorbance"
"0 uM ROX 0 uM Helix A",1,4.93,0.00384521484375
"0 uM ROX 0 uM Helix A",1,5.46,-0.0003814697265625
"0 uM ROX 0 uM Helix A",1,6.03,0.0003814697265625
"0 uM ROX 0 uM Helix A",1,6.52,-3.0517578125e-05
"0 uM ROX 0 uM Helix A",1,7.03,-0.0003509521484375
"0 uM ROX 0 uM Helix A",1,7.53,-0.00018310546875
"0 uM ROX 0 uM Helix A",1,8.04,0.0001220703125
"0 uM ROX 0 uM Helix A",1,8.54,-0.0003509521484375
"0 uM ROX 0 uM Helix A",1,9.04,9.1552734375e-05
"0 uM ROX 0 uM Helix A",1,9.55,0.0006561279296875
"0 uM ROX 0 uM Helix A",1,10.05,0.000732421875
"0 uM ROX 0 uM Helix A",1,10.56,-0.0004119873046875
"0 uM ROX 0 uM Helix A",1,11.06,-0.0009765625
"0 uM ROX 0 uM Helix A",1,11.57,-0.0006561279296875
"0 uM ROX 0 uM Helix A",1,12.07,-4.57763671875e-05
"0 uM ROX 0 uM Helix A",1,12.57,-0.000335693359375
"0 uM ROX 0 uM Helix A",1,13.07,-0.0013885498046875
"0 uM ROX 0 uM Helix A",1,13.57,-0.000457763671875
"0 uM ROX 0 uM Helix A",1,14.08,-0.000396728515625
"0 uM ROX 0 uM Helix A",1,14.59,-0.0010223388671875
"0 uM ROX 0 uM Helix A",1,15.07,-0.001678466796875
"0 uM ROX 0 uM Helix A",1,15.59,-0.0005950927734375
"0 uM ROX 0 uM Helix A",1,16.09,-0.0001983642578125
"0 uM ROX 0 uM Helix A",1,16.61,-0.001190185546875
"0 uM ROX 0 uM Helix A",1,17.1,-0.0011138916015625
"0 uM ROX 0 uM Helix A",1,17.6,-0.000640869140625
"0 uM ROX 0 uM Helix A",1,18.11,-0.0004119873046875
"0 uM ROX 0 uM Helix A",1,18.62,-0.0018157958984375
"0 uM ROX 0 uM Helix A",1,19.14,-0.0009765625
"0 uM ROX 0 uM Helix A",1,19.64,-0.001739501953125
"0 uM ROX 0 uM Helix A",1,20.15,-0.0016326904296875
"0 uM ROX 0 uM Helix A",1,20.7,-0.001312255859375
"0 uM ROX 0 uM Helix A",1,21.18,-0.0014190673828125
"0 uM ROX 0 uM Helix A",1,21.69,-0.0006256103515625
"0 uM ROX 0 uM Helix A",1,22.18,-0.0012664794921875
"0 uM ROX 0 uM Helix A",1,22.69,-0.001068115234375
"0 uM ROX 0 uM Helix A",1,23.18,-0.00152587890625
"0 uM ROX 0 uM Helix A",1,23.67,-0.00152587890625
"0 uM ROX 0 uM Helix A",1,24.16,-0.0016021728515625
"0 uM ROX 0 uM Helix A",1,24.66,-0.001983642578125
"0 uM ROX 0 uM Helix A",1,25.15,-0.0015411376953125
"0 uM ROX 0 uM Helix A",1,25.65,-0.001861572265625
"0 uM ROX 0 uM Helix A",1,26.14,-0.00177001953125
"0 uM ROX 0 uM Helix A",1,26.66,-0.0019073486328125
"0 uM ROX 0 uM Helix A",1,27.23,-0.0016632080078125
"0 uM ROX 0 uM Helix A",1,27.74,-0.0020599365234375
"0 uM ROX 0 uM Helix A",1,28.22,-0.002166748046875
"0 uM ROX 0 uM Helix A",1,28.73,-0.0023193359375
"0 uM ROX 0 uM Helix A",1,29.23,-0.0024261474609375
"0 uM ROX 0 uM Helix A",1,29.72,-0.00201416015625
"0 uM ROX 0 uM Helix A",1,30.22,-0.0021820068359375
"0 uM ROX 0 uM Helix A",1,30.72,-0.0025482177734375
"0 uM ROX 0 uM Helix A",1,31.21,-0.0020599365234375
"0 uM ROX 0 uM Helix A",1,31.73,-0.0022125244140625
"0 uM ROX 0 uM Helix A",1,32.22,-0.003143310546875
"0 uM ROX 0 uM Helix A",1,32.71,-0.0016021728515625
"0 uM ROX 0 uM Helix A",1,33.22,-0.0024871826171875
"0 uM ROX 0 uM Helix A",1,33.71,-0.001800537109375
"0 uM ROX 0 uM Helix A",1,34.22,-0.00213623046875
"0 uM ROX 0 uM Helix A",1,34.72,-0.0022430419921875
"0 uM ROX 0 uM Helix A",1,35.22,-0.0018310546875
"0 uM ROX 0 uM Helix A",1,35.73,-0.0016021728515625
"0 uM ROX 0 uM Helix A",1,36.23,-0.002166748046875
"0 uM ROX 0 uM Helix A",1,36.72,-0.00225830078125
"0 uM ROX 0 uM Helix A",1,37.23,-0.0016632080078125
"0 uM ROX 0 uM Helix A",1,37.74,-0.0019073486328125
"0 uM ROX 0 uM Helix A",1,38.24,-0.0020599365234375
"0 uM ROX 0 uM Helix A",1,38.73,-0.0016021728515625
"0 uM ROX 0 uM Helix A",1,39.23,-0.00164794921875
"0 uM ROX 0 uM Helix A",1,39.75,-0.0015869140625
"0 uM ROX 0 uM Helix A",1,40.23,-0.001312255859375
"0 uM ROX 0 uM Helix A",1,40.74,-0.002227783203125
"0 uM ROX 0 uM Helix A",1,41.25,-0.0015411376953125
"0 uM ROX 0 uM Helix A",1,41.75,-0.00164794921875
"0 uM ROX 0 uM Helix A",1,42.25,-0.00164794921875
"0 uM ROX 0 uM Helix A",1,42.76,-0.001617431640625
"0 uM ROX 0 uM Helix A",1,43.25,-0.0007476806640625
"0 uM ROX 0 uM Helix A",1,43.77,-0.0013885498046875
"0 uM ROX 0 uM Helix A",1,44.26,-0.00213623046875
"0 uM ROX 0 uM Helix A",1,44.77,-0.001068115234375
"0 uM ROX 0 uM Helix A",1,45.28,-0.00152587890625
"0 uM ROX 0 uM Helix A",1,45.76,-0.001190185546875
"0 uM ROX 0 uM Helix A",1,46.24,-0.0012969970703125
"0 uM ROX 0 uM Helix A",1,46.74,-0.0015869140625
"0 uM ROX 0 uM Helix A",1,47.26,-0.0009002685546875
"0 uM ROX 0 uM Helix A",1,47.89,-0.0007171630859375
"0 uM ROX 0 uM Helix A",1,48.74,-0.0004730224609375
"0 uM ROX 0 uM Helix A",1,49.25,-0.0011138916015625
"0 uM ROX 0 uM Helix A",1,49.8,0.0001373291015625
"0 uM ROX 0 uM Helix A",1,50.27,-0.0003204345703125
"0 uM ROX 0 uM Helix A",1,50.76,7.62939453125e-05
"0 uM ROX 0 uM Helix A",1,51.26,-0.0005645751953125
"0 uM ROX 0 uM Helix A",1,51.75,0.00018310546875
"0 uM ROX 0 uM Helix A",1,52.25,1.52587890625e-05
"0 uM ROX 0 uM Helix A",1,52.81,0.000518798828125
"0 uM ROX 0 uM Helix A",1,53.29,0.0009918212890625
"0 uM ROX 0 uM Helix A",1,53.79,0.0006256103515625
"0 uM ROX 0 uM Helix A",1,54.27,0.00115966796875
"0 uM ROX 0 uM Helix A",1,54.77,0.0015106201171875
"0 uM ROX 0 uM Helix A",1,55.26,0.001678466796875
"0 uM ROX 0 uM Helix A",1,55.77,0.00146484375
"0 uM ROX 0 uM Helix A",1,56.29,0.0015411376953125
"0 uM ROX 0 uM Helix A",1,56.78,0.0012664794921875
"0 uM ROX 0 uM Helix A",1,57.28,0.0026397705078125
"0 uM ROX 0 uM Helix A",1,57.76,0.0028839111328125
"0 uM ROX 0 uM Helix A",1,58.28,0.00177001953125
"0 uM ROX 0 uM Helix A",1,58.79,0.0032196044921875
"0 uM ROX 0 uM Helix A",1,59.32,0.0024871826171875
"0 uM ROX 0 uM Helix A",1,59.76,0.0023193359375
"0 uM ROX 0 uM Helix A",1,60.33,0.0026397705078125
"0 uM ROX 0 uM Helix A",1,60.81,0.00341796875
"0 uM ROX 0 uM Helix A",1,61.3,0.0032806396484375
"0 uM ROX 0 uM Helix A",1,61.84,0.00439453125
"0 uM ROX 0 uM Helix A",1,62.34,0.0038909912109375
"0 uM ROX 0 uM Helix A",1,62.81,0.0034942626953125
"0 uM ROX 0 uM Helix A",1,63.28,0.0035858154296875
"0 uM ROX 0 uM Helix A",1,63.85,0.0048370361328125
"0 uM ROX 0 uM Helix A",1,64.3,0.0046844482421875
"0 uM ROX 0 uM Helix A",1,64.84,0.005615234375
"0 uM ROX 0 uM Helix A",1,65.37,0.00543212890625
"0 uM ROX 0 uM Helix A",1,65.77,0.0061798095703125
"0 uM ROX 0 uM Helix A",1,66.34,0.006195068359375
"0 uM ROX 0 uM Helix A",1,66.88,0.0062713623046875
"0 uM ROX 0 uM Helix A",1,67.3,0.0064849853515625
"0 uM ROX 0 uM Helix A",1,67.86,0.0068359375
"0 uM ROX 0 uM Helix A",1,68.35,0.0076751708984375
"0 uM ROX 0 uM Helix A",1,68.85,0.0080413818359375
"0 uM ROX 0 uM Helix A",1,69.39,0.008697509765625
"0 uM ROX 0 uM Helix A",1,69.86,0.009002685546875
"0 uM ROX 0 uM Helix A",1,70.31,0.009246826171875
"0 uM ROX 0 uM Helix A",1,70.88,0.00994873046875
"0 uM ROX 0 uM Helix A",1,71.35,0.0100250244140625
